location,title,company,salary,summary
Dublin,Senior Big Data Developer,b'\n\n\nUnitedHealth Group\n',NA,b'\nThis role will support and enable the move to a data driven organization with a goal of solving complex problems with the use of data....'
Dublin,Data Scientist,b'\n\n3 Ireland\n',NA,"b'\nInterest or experience in data visualisation is also valued, including visualisation libraries such d3.js, dc.js, cross filter....'"
Dublin,Cloud Support Associate – Amazon Web Services (Big Data),b'\n\n\nAmazon Web Services Ireland Limited\n',NA,b'\nWork directly with Amazon Web Service engineers to help reproduce and resolve customer issues. Do you have a background in networking or operating systems or...'
Dublin,Scientific Data Curator,b'\n\nNuritas\n',NA,"b'\nProcess data efficiently and accurately. Experience in handling biological data \xe2\x80\x93 extracting, exporting and analysing....'"
Dublin,Data Analyst - Dublin,b'\n\nSkylads\n',NA,"b'\nData Analyst, Dublin. Perform data analysis, make reports and deliver relevant insights; Here at Skylads, we have a talented team of developers, data scientists...'"
Dublin,Data Scientist,b'\n\n\nTenable\n',NA,"b'\nSo if you are a passionate data scientist, from data, to tools, to process, and ultimately seeing the benefits it brings to customers, then look no further than...'"
Dublin,Data Science Associate - Marketing,b'\n\n\nWeb Summit\n',NA,"b'\nYou have experience in data mining or collection, as well as data analysis and visualisation. As part of the advertising team you will work with our data...'"
Dublin,IT Systems Engineer,b'\n\nJTRS\n',NA,"b'\nAble to configure enterprise Firewalls, Wifi Controllers, Switches, Web filter, Servers, Vlans, DCHP, AD, DNS,Enterprise Virtualisation (Hyper V, VMware,...'"
"Clonee, County Meath",Data Center Technician,b'\n\n\nFacebook\n',NA,b'\nFacebook is seeking a forward thinking experienced engineer to join the Data Center Operations Team. Work in teams to deploy new data center infrastructure....'
Dublin,"Software Engineer, Customer Data Platform Insights",b'\n\n\nZalando\n',NA,"b'\nSoftware Engineer, Customer Data Platform - Insights. Data structures, algorithms, graph theory, programming languages, and machine learning....'"
Dublin,Data Scientist,b'\n\n\nDamco India Pvt Ltd\n',NA,b'\nExtensive experience in developing complex data science solutions. Experience with Python and/or R (and associated data science modules)....'
Dublin,Big-Data - Amazon Web Services,b'\n\n\nAmazon\n',NA,"b'\nDevops Support Engineers with an affinity for big-data tools. We have a team of talented Support Engineers located in 8 countries around the world, and are...'"
Dublin,Network Engineer - Onsite Dublin North,b'\n\nPlanNet21 Communications Ltd\n',NA,"b'\nCisco Network Engineer*. Maintain the company wide infrastructure for data, and wireless services. Collaborates with other engineers to support and ensure high...'"
Dublin,IT Network Engineer,b'\n\n\nSalesforce\n',NA,"b'\nIT Network Engineer. Salesforce is looking to hire a Network Engineer that is responsible for the implementation, and support of data infrastructure in our...'"
Dublin,Senior Software Developer,b'\n\n\nDun & Bradstreet\n',NA,"b'\nExperience with SQL, data warehousing, NoSQL data stores, Hadoop, and AWS technologies for big data like S3, Redshift, and Elastic MapReduce (EMR)....'"
Dublin,Senior Cyber Threat Analyst,b'\n\n\nFireEye\n',NA,"b'\nAnalyze technical data to extract attacker TTPs, identify unique attributes of malware, map attacker infrastructure, and pivot to related threat data....'"
"Leixlip, County Kildare",Graduate Process Test Engineer,b'\n\n\nIntel\n',NA,b'\nData mining is an integral part of daily activities in this role (Data mining /Analysing test and diagnostic data....'
"Leixlip, County Kildare",Graduate Process Engineer,b'\n\n\nIntel\n',NA,"b'\nData extraction, mining and analysis. The Process Engineers here have a passion for leading the industry;...'"
Dublin,Validation Engineer - Contractor,b'\n\n\nWest Pharmaceutical Services\n',NA,"b'\nTrending and tracking of quality data to drive improvements eg Sampling data, Maternal reviews reports, project protocols and reports....'"
Dublin,Senior Php Developer,b'\n\n\nWeb Summit\n',NA,"b'\nIn fewer than 7 years, Web Summit has grown from a small team to a company of over 150 focused on disrupting the conference industry through technology and data...'"
Dublin,Technical Product Engineer - Dublin,b'\n\n\nBloomberg\n',NA,"b'\nData Quality, Data Classification/Taxonomies, Data Transformation, Data warehouse Design, OLAP, ETL, Time Series Data, Structured, Unstructured Data....'"
Dublin,IT Senior Cisco Voice & Data Engineer,b'\n\nIPSUS\n',NA,"b'\nGreat opportunity for a Cisco Voice & Data Engineer to plan, scope, configure and deploy Cisco voice networks. Planning, designing, implementing and configuring...'"
Dublin,Data Modeling Engineer - Dublin,b'\n\n\nBloomberg\n',NA,"b'\nData Quality, Data Classification/Taxonomies, Data Transformation, Data warehouse Design, OLAP, ETL, Time Series Data, Structured, Unstructured Data....'"
Dublin,Operations Software Engineer,b'\n\n\nMicrosoft\n',NA,"b'\nMinimum 5+ years of working with large scale data, data collection, data distribution, data mastering. Strong working knowledge of data security, access...'"
Dublin,DCOSE Support Engineer,b'\n\n\nAmazon Data Services Ireland Limited\n',NA,b'\nAmazon.com Data Center\xe2\x80\x99s are 24x7 environments. Monitor various data sources for unidentified fleet issues....'
Dublin,Software Development Engineer,b'\n\n\nFireEye\n',NA,b'\nExperience working with relational data bases (Postgres/MySQL). Work collaboratively with fellow Performance Engineers and Developers to successfully deliver...'
Dublin,Software Development Engineer,b'\n\n\nAmazon Data Services Ireland Limited\n',NA,b'\nComputer Science fundamentals in data structures. Do you want to build the tools that keep Amazonians happy and productive?...'
Dublin,Graduate Electrical Engineers,b'\n\nGradSecure\n',NA,"b'\nOur client are seeking to recruit recently qualified honours level Electrical Engineers. Operating across Ireland, the UK and Europe, they have become the...'"
Dublin,Software Engineer,b'\n\n\nHubSpot\n',NA,"b'\nCore Data, Infrastructure, & Reliability:. We take advantage of Kafka, Spark, Hadoop for processing volumes of data. Hi....'"
Dublin,Technical Support Engineer,b'\n\n\nTableau\n',NA,"b'\nIn this Technical Support Engineer role, you will work primarily with enterprise customers of Tableau\xe2\x80\x99s desktop, server and core server products, proactively...'"
Dublin,Business Intelligence Architect,b'\n\n\nHubSpot\n',NA,"b'\nData management and data warehousing best practices. While we have an incredible team of data engineers and data analysts today, some elements of our work are...'"
Dublin,"System Development Engineer, Fleet Management Systems",b'\n\n\nAmazon Data Services Ireland Limited\n',NA,b'\nAs a System Development Engineer working within AWS Infrastructure you will:. Participate in original implementation of and creation of new features for...'
Dublin,Senior Software Engineer,b'\n\n\nDAQRI\n',NA,b'\nOur Software Engineers not only write and test code but also come up with the most efficient algorithms and data structures to use on real-time problems....'
Dublin,Senior Software Engineer,b'\n\n\nSage\n',NA,b'\nWe are looking for a Senior Software Engineer to work as part of our Sage Payroll Product Engineering team. Advantageous skills Experience/knowledge of Jenkins...'
Dublin,Senior Data Engineer,b'\n\n\nNitro\n',NA,"b""\nWe're looking for a Senior Platform/Data Engineer to join our engineering team in Dublin. With your help, we will extend our smart document platform and..."""
Dublin,Software Development Engineer - Search Team,b'\n\n\nWorkday\n',NA,"b'\nWe are currently seeking innovative Software Engineers to join us in our Dublin office. The team mainly develops in Scala, however we are interested in speaking...'"
Dublin,Graduate Engineering Operations Technician (shift),b'\n\n\nAmazon\n',NA,b'\nProvide assistance to contractor or data center engineers to ensure proper operation and maintenance of all facility equipment....'
Dublin,Software Tester Dublin,b'\n\nEden Recruitment\n',NA,"b'\nCandidates must have 3 \xe2\x80\x93 4 years (Manual) Test experience and also strong Data Skills (Testing Data Applications , SQL)....'"
Dublin,Software Engineer,b'\n\nSinglePoint Solutions Ltd.\n',NA,"b'\nSQL data skills. 4+ years\xe2\x80\x99 experience as Software Developer / Engineer. Spark, Kafka or other distributed data processing tools....'"
Dublin,Senior Big Data Engineer,b'\n\n\nEquifax\n',NA,b'\nBig Data Senior Engineer. Big Data (2+ years):. The Big Data Senior Engineer role is a highly skilled position requiring a very high level of technical...'
Dublin,Sr. Software Development Engineer - Kindle B2B,b'\n\n\nAmazon CS Ireland Limited\n',NA,"b'\nExperience mentoring junior software engineers to improve their skills, and make them more effective, product software engineers....'"
Dublin,"Graduate Consultant (Graduate Software Developer) Dublin, Ir...","b'\n\n\nGuidewire Software, Inc.\n'",NA,"b'\nJava, C#, J2EE, XML, Enterprise Java, JEE, Core Java Technology, Core J2EE Technology, Java developer, Java programmer, Java Software Engineer, JSF, Struts,...'"
Dublin,Software Engineer,b'\n\n\nHoughton Mifflin Harcourt\n',NA,"b'\nThe Opportunity - Software Engineer. Test, analyze data, and improve constantly. Our engineers are independent, self-directed professionals bringing the latest...'"
Dublin,"Systems Development Engineer, Amazon Redshift",b'\n\n\nAmazon Data Services Ireland Limited\n',NA,"b'\nYour job will be to work with our Software Engineers, Database Engineers and System Engineers to operate our business, develop internal tools, and drive...'"
Dublin,Senior Data Designer - Dublin,b'\n\n\nFjord\n',NA,"b'\nData Design includes designing with data (identifying, accessing and exploring data sources), designing for data (creating new data-driven experiences) and data...'"
Dublin,Software Engineer,b'\n\n\nInformatica\n',NA,b'\nInformatica is the only Enterprise Cloud Data Management leader that accelerates data-driven digital transformation....'
Dublin,Data center Chief Engineer (DUBLIN),b'\n\nZentrys Ireland\n',NA,b'\nData center chief engineer*. For the position of chief engineer we are looking for a senior engineer that has experience in data centers or comparable critical...'
Dublin,"Senior Software Engineer, French Speaker","b'\n\n\nGuidewire Software, Inc.\n'",NA,b'\nOur Solution Developers are software engineers and more. Every engineer and consultant bring something to the table whether in the earlier years of their career...'
Dublin,Data Engineer,b'\n\nMason Alexander\n',NA,"b'\nNew position within a focus data science team based in Dublin, the Data Engineer will contribute to the companies goals in delivering data driven customer...'"
Dublin,"Automated Test Engineer, GPS- Dublin, Ireland","b'\n\n\nGuidewire Software, Inc.\n'",NA,b'\nGPS \xe2\x80\x93 Automated Testing Engineer & Application Developer. This role will report to our Lead Testing Engineer that is part of our overall GPS team....'
Dublin,Trader - Sports analytics and Geo-political,b'\n\n\nSusquehanna International Group\n',NA,"b'\nMaking guided, yet independent trading decisions across multiple products Working closely with quants, developers, and other traders to determine best processes...'"
Dublin,WINTEL SYSTEMS ENGINEER DATA CENTRE,b'\n\nSoftware Placements\n',NA,b'\nFine tune performance and troubleshooting infrastructure ensuring that systems and data are operational 24x7x365....'
Dublin,Senior Software Engineer - Configuration Infrastructure - Du...,"b'\n\n\nGuidewire Software, Inc.\n'",NA,b'\nSoftware Engineer \xe2\x80\x93 Configuration Infrastructure. We expect our Software Engineers to have a product first mind set....'
Dublin,Senior Software Engineer - Data Insights,b'\n\nZalando\n',NA,b'\nWe are a mix of software engineers and data scientists who collaborate in order to create and innovate unique solutions to complex technical and product...'
Dublin,Software Engineer 3,b'\n\n\nLam Research\n',NA,"b'\nSoftware Development Engineer (Data Analytics). Masters/PhD is a distinct advantage, especially with a data analytics/machine learning theme....'"
Dublin,Systems Engineer,b'\n\n\nBloomberg\n',NA,"b'\nOur clients experience immediate improvement in Data Quality, Operational Process & Control, Reaction to Change and Data Governance when they on-board to our...'"
"North Dublin, County Dublin",Cisco Network Engineer – Onsite North Dublin,b'\n\nPlanNet21\n',NA,"b'\nCisco Network Engineer \xe2\x80\x93 Onsite North Dublin. Maintain the company wide infrastructure for data, and wireless services....'"
Dublin,Ruby on Rails Software Engineer,b'\n\n\nAccenture\n',NA,"b'\nAs a Ruby on Rails Software Engineer, you will be:. Manage overall deployment plan including the development plan and schedule Implement and set security and...'"
Dublin,"Principal Engineer (Data Centre R&S, Wireless) - contract",b'\n\nE-FRONTIERS LTD\n',NA,b'\nMy Client is looking for *Principal Engineer*. Coach and mentor team members and assume responsibility for lead engineer on specific engagements....'
Dublin,Junior Site Engineer,b'\n\nAcrow Recruitment Ltd\n',NA,b'\nReporting to Senior Engineer. Maintaining the material and plant records on site with data entry into the Coins Accounting software....'
Dublin,Systems Engineer,b'\n\n\nAmazon Data Services Ireland Limited\n',NA,b'\nWe are looking for an experienced System Engineer who is adaptable to support various systems deployed in multiple environments globally....'
Dublin,"IT Business Graduate Programme - Project Research, Planning...",b'\n\n\nRyanair\n',NA,b'\nRyanair has changed the face of aviation in Europe by providing low cost air travel to millions of European customers and now we want to change the world of'
Dublin,Data Scientist,b'\n\n\nCpl Recruitment\n',NA,"b'\nData Scientist, 75k, Financial Services. My client is seeking a senior Data Scientist to join their business analytics function, to develop data science...'"
Dublin,Technical Support Engineer (Networking),b'\n\n\nCitrix\n',NA,b'\nTechnical Support Engineer (Networking). R5828 Technical Support Engineer (Networking) (Evergreen) (Open)....'
Dublin,Lead Software Engineer,b'\n\n\nVerizon\n',NA,b'\nLead Software Engineer owns an Engineering Team in the Platform Group. Our solutions enable businesses to meet the challenges associated with managing local...'
Dublin,Application Engineer,b'\n\n\nPaddy Power Betfair\n',NA,"b'\nFrom sophisticated risk systems to high-volume, real-time data aggregation and price setting. The .Net developer will be joining a team who develop cutting-edge...'"
Dublin,"Software Engineer, Unity3D",b'\n\nKitman Labs\n',NA,"b'\nResearch and prototype new techniques to improve the accuracy of the data we collect. We expect each engineer to help define what their priorities should be,...'"
Dublin,Software Design Engineer in Test,b'\n\n\nVerizon\n',NA,b'\nFamiliarity with RESTful web services and the JSON data format. What you\xe2\x80\x99ll be doing......'
Dublin,Network Engineer,b'\n\nCpl Resources plc\n',NA,"b'\nExperience with Enterprise and Service Provider network hardware platforms and architectures, including Cisco and Juniper routers/switches and Nexus data center...'"
Dublin,Storage Tower Consultant,b'\n\nWinborough Technologies Limited\n',NA,"b'\nProvides high bandwidth, low latency data transfers between servers, storage and data backup devices in the data centres;...'"
"South Dublin, County Dublin",Mechanical /Project Engineer (Offices / Fit outs),b'\n\nICDS Recruitment\n',NA,"b'\nMechanical / Project Engineer (office construction or fit out background). The emphasis will be on commercial projects such as office blocks and fitouts, data...'"
Dublin,Senior Javascript Developer,b'\n\n\nZalando\n',NA,"b'\nExperience with SCALA, Elasticsearch, Data Visualisation/Charting. You will have the opportunity to work closely with over 60 data science experts and engineers...'"
Dublin,Airport Systems Engineer,b'\n\n\nArup\n',NA,"b'\nAirport Systems Engineer. Familiarisation with PLC Programming, SCADA Systems, IT Networks, Enterprise Architecture, Systems Integration, Data Centres and...'"
Dublin,Technical Support Engineer II/III (TSE2/3),b'\n\n\nPure Storage\n',NA,"b'\nDevelops junior support engineers through training, and coaching. Our Support Engineers utilize their deep technical expertise to troubleshoot customer issues...'"
Dublin,Lead Engineer,b'\n\nFineos Corporation\n',NA,"b'\nThis may include wireframes, UML, data models and diagrams. Experience in modelling complex data in a structured and flexible manner using OO Analysis and...'"
Dublin,Software Development Engineer - Core Platform,b'\n\n\nWorkday\n',NA,"b'\nSoftware Engineer \xe2\x80\x93 Core Platform. Exposure to Akka, NoSQL data stores (for example, Riak, Cassandra, or MongoDB), Data Fabrics (Apache Ignite, Geode, HazelCast...'"
Dublin,Senior Technical Recruiter,b'\n\n\nAmazon\n',NA,b'\nYou have several years\xe2\x80\x99 experience recruiting technical engineers. Experience using data to drive decisions and build a business case when appropriate....'
Dublin,Software Engineer,b'\n\nbeatvyne\n',NA,"b'\nGood understanding of distributed systems, data stores, data modeling, indexing and associated trade-offs. Effective at feature engineering and data analysis....'"
Dublin,Data Scientist,b'\n\nBrightwater Group\n',NA,"b'\nExperience with data visualisation tools. Our client, a global Financial Services company located in the city centre, currently has a job opening for a Mid to...'"
Dublin,Senior Oceanographic Engineer,b'\n\nOpenHydro\n',NA,b'\nExperience leading junior engineers. Oceanographic site data from Acoustic Doppler Current Profiler (ADCP) surveys....'
"South Dublin, County Dublin",Senior Data Scientist - Irish Web Company,b'\n\nRecruiters\n',NA,"b'\nSenior Data Scientist. Developing industry leading data science solutions including identifying detailed data needs, sources, and structure to support solution...'"
Dublin,Senior DevOp Engineer,b'\n\n\nDun & Bradstreet\n',NA,"b'\nWork closely with developers, testers, release managers, security engineers, to solve systems problems. Our purpose is to grow the most valuable relationships...'"
Dublin,Software Engineer in Test,b'\n\n\nActivision\n',NA,"b'\nCandidates must enjoy working collaboratively with development and operations engineers. We do matchmaking, microtransactions, and data analytics for almost...'"
Dublin,Software Engineer in Test,b'\n\nDemonWare\n',NA,"b'\nCandidates must enjoy working collaboratively with development and operations engineers. We do matchmaking, microtransactions, and data analytics for almost...'"
Dublin,Data Engineer,b'\n\nReperio Human Capital\n',NA,"b'\nDesired Skills Java HTML Spring Angular CSS Senior Full Stack Developer, Dublin Skills Required: JAVA, Angular JS, CSS, Spring, HTML5, REST Job Description'"
Dublin,Interface Engineer,b'\n\n\nCerner Corporation\n',NA,"b""\nThe Interface Engineer is responsible for the implementation of Cerner's Millennium interfaces to existing and national healthcare systems, and the data..."""
Dublin,Service Operations Center Analyst - Weekend Shift,b'\n\n\nTableau\n',NA,b'\nWe help people see and understand their data. Manage communication between stakeholders and engineers during global incidents. What you\xe2\x80\x99ll be doing\xe2\x80\xa6....'
Dublin,Facility Operations Center Manager,b'\n\n\nAmazon\n',NA,"b'\nHire, supervise and develop FOC Engineers. Experience leading a shift of 10+ engineers. Manage all Engineers towards departmental and companywide goals....'"
Dublin,Systems Engineer I,b'\n\n\nFirst Data\n',NA,"b'\nDevelop dashboards, data. The Splunk Operations Engineer. First Data is a global leader in commerce-enabling....'"
Dublin,Site Reliability Engineer - Dublin,b'\n\nFlashpoint\n',NA,"b'\nFocus on internal tooling, automation, data warehousing, and security. Architect and develop the systems that empower data gathering in the Deep & Dark Web....'"
Dublin,DATA ENGINEER,b'\n\nSoftware Placements\n',NA,"b'\nDesign, implement, test and maintain data management processes including data acquisition, data integration and data modeling....'"
Dublin,DATA INTEGRATION ENGINEER,b'\n\nSoftware Placements\n',NA,"b'\nExperience in developing custom data integration solutions. Design and develop a cloud based enterprise data integration solution using a commercial ETL tool,...'"
Dublin,Network Reliability Engineer,b'\n\n\nAmazon Data Services Ireland Limited\n',NA,"b'\nAmazon is the world\xe2\x80\x99s most customer centric company and is looking to hire highly motivated, best-in-class Network Engineers for our Network Reliability...'"
Dublin,Network Data Center (Servers),b'\n\n\nDamco Solutions\n',NA,"b'\nNetwork Engineer, Data Center, Servers. Network Data Center (Servers). Platforms and architectures including data center switching platforms....'"
Dublin,Civil / Structural Resident Eng Dublin Lrg Commercial Resd D...,"b""\n\nO'Connor Cronin Sutton & Associates Ltd\n""",NA,b'\nCivil/Structural Resident Engineer - 2 to 3 Years onsite. We are currently seeking to recruit a *Civil/Structural Resident Engineer*....'
Dublin,DevOps Engineer - Dublin (HQ),b'\n\nSkylads\n',NA,"b'\nHere at Skylads we have a talented team of developers, data scientists and dedicated AI specialists, who love what we do so naturally we want someone who is...'"
Dublin,Epicor Application Engineer,b'\n\n\nGloboforce Limited\n',NA,"b'\nStrong abilities with the tools utilized in data analysis and related software implementation. This role will provide in-depth application solution design, as...'"
Dublin,Automation Test Engineer - Advanced Analytics Lab,b'\n\n\nUnitedHealth Group\n',NA,b'\nYou will work with our Data Scientist and developers to grow and develop as you conduct and manage outcomes of various analytic studies....'
Dublin,Sr. Software Engineer -.Net,b'\n\n\nAccela\n',NA,"b'\nStrong understanding of Algorithms and Data Structures. In the first phase, Accela expects to hire 50 engineers....'"
Dublin,Global Systems Engineer - CGEM (Dublin),b'\n\n\nCisco\n',NA,"b'\nPeople, processes, data, and things. Systems Engineers in Cisco are technical leads that advice and support Sales teams with pre-sales and deep technical...'"
Dublin,Data Scientist,b'\n\n\nBrightwater\n',NA,"b'\nExperience with data visualisation tools. Our client, a global Financial Services company located in the city centre, currently has a job opening for a Mid to...'"
Dublin,Technical Sales Position,b'\n\nIBC\n',NA,"b'\nHumidification Dehumidification BEMS Engineer. Current relationships with Mechanical & Electrical consultants, contractors, local authorities and end users...'"
Dublin,Service Operations Center Analyst,b'\n\n\nTableau\n',NA,b'\nWe help people see and understand their data. Manage communication between stakeholders and engineers during global incidents. What you\xe2\x80\x99ll be doing\xe2\x80\xa6....'
Dublin,Principle Scientist,b'\n\nMeditrina Life Sciences Talent\n',NA,"b'\nData interpretation (disease causing variants, data analysis, structural variants identification, etc). Analysing, integrating and interpreting biological data....'"
Dublin,Senior Software Engineer - Data Services,b'\n\n\nWorkday\n',NA,b'\nWhat a Software Engineer for our Technology Services team does at Workday:. A major task includes migrating data from their existing landscape into the Workday...'
Dublin,Software Engineer,b'\n\nParameter Space Ltd\n',NA,b'\nEarth Observation satellites are creating petabyte data volumes. Cloud-based analysis platforms that bring compute to the data are being implemented to deliver...'
Dublin,Buildings Control Systems Engineer,b'\n\n\nArup\n',NA,b'\nBuildings Control Systems Engineer. Working towards achieving Chartered Engineer status. We are a group of over 100 multi-disciplinary engineers working in an...'
Dublin,Core Design Engineer: LTE/EPC,b'\n\n3 Ireland\n',NA,"b'\nProvides input to High Level System Designs across 2G/3G/4G Voice and Data Core, whether the designs be done internally, or externally....'"
Dublin,Operations Technician (shift),b'\n\n\nAmazon\n',NA,"b'\nProvides assistance to contractor or data center engineer to deploy new equipment, such as, building racks, cabling, and other tasks as necessary....'"
Dublin,Senior Bioassay Scientist,b'\n\nScientificJobs.ie\n',NA,"b'\nSenior Bioassay Scientist. Participate in the peer review of analytical data. Participate in the generation and update of SOP\xe2\x80\x99s, trend data, investigations, non...'"
Dublin,Senior Software Engineer - Dublin,b'\n\nFlashpoint\n',NA,"b'\nMentor junior and mid-level engineers. Experience building, maintaining or using big data streaming infrastructure (Kafka, HDFS, etc.)....'"
